"result_id","CODE_INDI_ANO","result_score","latitude","longitude"
"86027_0970_00009","2026332","0.5074880972515856","46.578469","0.306084"
"86194_3804_00064","3277212","0.57036499032882","46.594121","0.38326"
"","1668302","","",""
"86115_1185","1661962","0.43259038961038954","46.708085","0.351152"
"86222_c7j1b4","1661972","0.4630476923076923","46.649244","0.423835"
"86177_1419_00012","1856722","0.6973292837465564","46.682528","0.236164"
"86231_6ke07b","1725762","0.4435080564263323","46.132221","0.230137"
"86194_a107_00003","3626272","0.5208817838765009","46.57459","0.358324"
"86194_0650_00012","1797862","0.5898863636363636","46.587489","0.366997"
"86214_1393_00002","1966072","0.5949062237762237","46.54644","0.319978"
"86005_0008_00022","1667782","0.4771169278996865","46.945617","0.117563"
"","1661212","","",""
"86194_0390_00116","2540292","0.3182297678916828","46.584594","0.376132"
"86137_0030_00005","4037722","0.47163567398119116","47.006598","0.083114"
"86194_2970_00002","1991272","0.3995363636363636","46.590854","0.338495"
"86053_0225_00037","1666412","0.5677337062937061","46.712739","0.159255"
"86263_0168_00009","2532302","0.5677350649350649","46.508232","0.355281"
"86140_B093","1726792","0.46669380549682876","46.417099","0.741139"
"86178_0250","2101182","0.5997712518628912","46.482403","0.458683"
"86194_1567_00073","2928282","0.6154305317324185","46.592212","0.318228"
"86194_3410_00007","1797722","0.43968551415797313","46.57025","0.357151"
"86213_b404_00006","3015122","0.48789444444444435","46.4016","0.067269"
"86297_2010_00008","2051432","0.5008627272727273","46.572004","0.267656"
"86100_1475_00002","2336592","0.5944405317324185","46.538831","0.260972"
"86099_0245_00007","3308202","0.5246312121212121","46.477392","0.517886"
"86076_0170_00019","4041232","0.5098000742115028","46.64811","0.225257"
"86048_0220_00016","2082392","0.5020290271132377","46.715711","0.277574"
"86059_0750_00004","3311582","0.5521803305785123","46.483877","0.725598"
"86174_0347_00009","1665212","0.5584672727272727","46.766546","0.478183"
"86066_3281_00041","2774032","0.6356999521531099","46.812277","0.522301"
"86133_0650_00066","1878572","0.40175398601398604","46.51717","0.329947"
"86066_1415_00084_bis","2185782","0.6505798395721926","46.820527","0.522468"
"86062_0950_00001","4147962","0.6649347107438016","46.655409","0.380382"
